7141 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
800 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
8104 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
9323 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
268 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
1290 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
1211 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
21107 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
16682 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
3904 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
3479 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
3396 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
6717 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
22429 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
1558 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
29806 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
3861 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
4904 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
5866 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
6943 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
6998 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
12316 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
3181 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.5], solved = true
1801 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
27726 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
906 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
13306 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
4243 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
15350 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
7697 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
24829 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
3712 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
10824 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.5], solved = true
